[2025-08-19 20:41:08,050] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:41:08,051] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:42:07,592] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:42:07,598] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:42:08,088] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:42:08,091] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:42:08,092] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:43:07,593] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:43:07,606] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:43:07,994] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:43:07,999] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:43:08,001] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:44:00,872] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:44:00,875] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:44:00,876] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:44:00,878] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:44:00,879] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:44:00,890] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:44:00,894] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:44:00,895] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:44:00,897] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:44:00,898] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:45:00,725] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:45:00,747] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:45:01,032] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:45:01,219] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:45:01,220] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:46:00,715] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 20:46:00,734] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:46:00,748] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:46:00,754] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:46:00,762] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 20:47:00,718] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
