[2025-08-18 15:24:26,649] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:24:26,661] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:24:26,661] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:24:26,662] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:24:26,663] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:24:27,554] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:24:27,566] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:24:27,567] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:24:27,567] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:24:27,611] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:24:53,037] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:24:53,047] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:24:53,048] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:24:53,049] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:24:53,049] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:27:34,800] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:27:34,809] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:27:34,810] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:27:34,812] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:27:34,856] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:27:35,386] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:27:35,699] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:27:35,716] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:27:35,737] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:27:35,755] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:28:04,973] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:28:04,990] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:28:04,991] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:28:05,021] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:28:05,022] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:28:05,555] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:28:05,867] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:28:05,885] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:28:05,886] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:28:05,922] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:28:32,464] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:28:32,474] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:28:32,476] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:28:32,477] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:28:32,506] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:28:33,048] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:28:33,348] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:28:33,366] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:28:33,391] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:28:33,392] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:28:55,939] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:28:55,947] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:28:55,948] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:28:55,956] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:28:55,957] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
[2025-08-18 15:28:56,548] [WARNING] [main] Unauthorized access attempt to /mkt/movers
[2025-08-18 15:28:56,852] [WARNING] [main] Unauthorized access attempt to /mkt/nifty50
[2025-08-18 15:28:56,860] [WARNING] [main] Unauthorized access attempt to /mkt/sensex
[2025-08-18 15:28:56,866] [WARNING] [main] Unauthorized access attempt to /mkt/banknifty
[2025-08-18 15:28:56,879] [WARNING] [main] Unauthorized access attempt to /mkt/midcap
